
NOTICE: Existing SQLite export found: reportW1.sqlite
        It is assumed file was previously exported from: reportW1.nsys-rep
        Consider using --force-export=true if needed.

Processing [reportW1.sqlite] with [/usr/local/cuda-12.3/NsightSystems-cli-2023.4.1/target-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)  Min (ns)   Max (ns)   StdDev (ns)   Style              Range           
 --------  ---------------  ---------  ---------  --------  --------  ----------  -----------  -------  ---------------------------
     99.3      11338664914       2275  4984028.5   24131.0       166  4546689448  114198546.0  PushPop  NCCL:ncclGroupEnd          
      0.5         62228640         28  2222451.4  153648.0     35915    22501141    6113094.7  PushPop  NCCL:ncclCommInitRankConfig
      0.1          7668446       1791     4281.7    3571.0      1561       45762       3227.4  PushPop  NCCL:ncclAllReduce         
      0.1          6859381       2275     3015.1    1297.0       151       95073       5616.6  PushPop  NCCL:ncclGroupStart        
      0.0          1176069         64    18376.1   14522.5      4743       79277      14067.5  PushPop  NCCL:ncclRecv              
      0.0          1013881         64    15841.9   13123.0      4812       47045      10609.2  PushPop  NCCL:ncclSend              
      0.0           406010         66     6151.7    5885.5      3014       17253       2897.1  PushPop  NCCL:ncclBroadcast         

Processing [reportW1.sqlite] with [/usr/local/cuda-12.3/NsightSystems-cli-2023.4.1/target-linux-x64/reports/osrt_sum.py]... 
SKIPPED: reportW1.sqlite does not contain OS Runtime trace data.

Processing [reportW1.sqlite] with [/usr/local/cuda-12.3/NsightSystems-cli-2023.4.1/target-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls    Avg (ns)     Med (ns)    Min (ns)   Max (ns)    StdDev (ns)                       Name                     
 --------  ---------------  ---------  ------------  -----------  --------  -----------  ------------  ---------------------------------------------
     88.8     269055416876         96  2802660592.5  342105241.5      7654  11573871535  3531300562.6  cudaDeviceSynchronize                        
      3.6      10801308955        876    12330261.4      10993.0      3043   1787663446    99167611.4  cudaMemcpyAsync                              
      2.7       8049687883        340    23675552.6       3797.0       995   4088009547   304672533.0  cudaStreamSynchronize                        
      2.4       7410004297       3726     1988729.0       1458.0       618   2195755658    47868199.8  cudaEventDestroy                             
      2.2       6784254563      33130      204776.8       6744.5      4100   2975795886    22413306.6  cudaLaunchKernel                             
      0.2        462949394         97     4772674.2    1549002.0      9401     24893674     6382749.9  cudaHostAlloc                                
      0.0        144508682         96     1505298.8     877690.5    143094      5607877     1475558.4  cudaHostRegister                             
      0.0         57839351      39199        1475.5        615.0       323     17047107       86926.9  cudaEventQuery                               
      0.0         57135630         56     1020279.1     663881.5      1576     15524035     2683681.0  cudaFree                                     
      0.0         38733103        491       78886.2      19133.0      3841      1041630      110787.1  cudaMalloc                                   
      0.0         31991286       1832       17462.5       9506.0      5976      3259485      137582.8  cudaLaunchKernelExC_v11060                   
      0.0         16454215      11161        1474.3        975.0       503        53790        1276.6  cudaEventRecord                              
      0.0         14314151       1908        7502.2       6824.0      2453        56813        4968.3  cudaMemsetAsync                              
      0.0         12443914       7552        1647.8       1492.0       486        29017        1044.2  cudaStreamWaitEvent                          
      0.0         10789352          8     1348669.0    1329892.0   1043080      1560161      154089.6  cudaGetDeviceProperties_v2_v12000            
      0.0          9766740      10422         937.1        576.0       348       389033        4487.4  cudaStreamIsCapturing_v10000                 
      0.0          7046539        256       27525.5       2561.0      1445       993004      116816.5  cudaStreamCreateWithPriority                 
      0.0          6386375       3900        1637.5       1643.0       414        20500        1371.2  cudaEventCreateWithFlags                     
      0.0          6327262       3198        1978.5       1647.0       439        55583        3187.9  cudaOccupancyMaxActiveBlocksPerMultiprocessor
      0.0          2509266         48       52276.4      23529.0      2370       653662      111388.5  cudaStreamCreateWithFlags                    
      0.0          2152287       1832        1174.8       1065.0       675         7851         534.6  cudaStreamGetCaptureInfo_v2_v11030           
      0.0           969298       1288         752.6        375.0       237        24052        1235.1  cudaThreadExchangeStreamCaptureMode_v10010   
      0.0           757940       2342         323.6        274.0       116         6560         303.5  cuGetProcAddress_v2                          
      0.0           129553         16        8097.1       6539.5      5836        24292        4553.6  cudaStreamDestroy                            
      0.0            30076         58         518.6        488.5       158         1448         205.6  cuGetProcAddress                             
      0.0            18226          8        2278.3       1514.5       614         8408        2539.9  cuInit                                       
      0.0             8524          8        1065.5        415.0       216         3516        1345.9  cuModuleGetLoadingMode                       
      0.0             3612          4         903.0        907.0       604         1194         323.8  cudaGetDriverEntryPoint_v11030               

Processing [reportW1.sqlite] with [/usr/local/cuda-12.3/NsightSystems-cli-2023.4.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)    StdDev (ns)                                                   Name                                                
 --------  ---------------  ---------  ------------  ------------  ----------  -----------  ------------  ----------------------------------------------------------------------------------------------------
     80.0     237106726012         64  3704792593.9   229953572.0     1027625  11573913449  3949501284.1  ncclDevKernel_SendRecv(ncclDevComm *, unsigned long, ncclWork *)                                    
